FAA Site Number,Loc ID,Airport Name,Associated City,State,Region,ADO,Use,Latitude,Longitude,Airport Ownership,Part 139,NPIAS Service Level,NPIAS Hub Type,Airport Control Tower,Fuel,Other Services,Based Aircraft Total,Total Operations
24026.1*A,1TE5,CORPORA,HEARNE,TX,ASW,TEX,PR,30-48-58.6920N,096-36-03.8930W,PR,,NON-NPIAS,,N,100  80,,5,0 
02816.5*H,CT38,CORPORATE CENTER,GLASTONBURY,CT,ANE,NONE,PR,41-42-44.3580N,072-35-16.3220W,PR,,NON-NPIAS,,N,,,0,0 
16248.61*H,4NK9,CORPORATE PARK OF STATEN ISLAND,STATEN ISLAND,NY,AEA,NYC,PR,40-37-02.0000N,074-10-33.0000W,PR,,NON-NPIAS,,N,,,0,0 
23657.2*A,CRP,CORPUS CHRISTI INTL,CORPUS CHRISTI,TX,ASW,TEX,PU,27-46-15.9263N,097-30-04.4320W,PU,I B S 05/1973,Primary,Non-Hub,Y,100LLA,AFRT  AVNCS  CARGO  CHTR  INSTR  RNTL  SALES,61,69915 
23660.*A,NGP,CORPUS CHRISTI NAS/TRUAX FIELD,CORPUS CHRISTI,TX,ASW,TEX,PR,27-41-33.7220N,097-17-25.3580W,MN,,NON-NPIAS,,Y,,,0,0 
12812.75*A,25NE,CORR,MELBETA,NE,ACE,NONE,PR,41-43-26.8920N,103-30-40.7850W,PR,,NON-NPIAS,,N,,,1,0 
24745.*A,XS94,CORRALITOS,SAN YGNACIO,TX,ASW,TEX,PR,27-06-41.1070N,099-25-21.1440W,PR,,NON-NPIAS,,N,,,4,0 
02298.83*H,CA56,CORRECTIONAL TRAINING FACILITY,SOLEDAD,CA,AWP,SFO,PR,36-28-01.8700N,121-22-12.7570W,PR,,NON-NPIAS,,N,,,0,0 
17079.03*A,88NC,CORRIHER FIELD,SALISBURY,NC,ASO,MEM,PR,35-37-57.0000N,080-41-07.0000W,PR,,NON-NPIAS,,N,,,5,0 
20147.*A,8G2,CORRY-LAWRENCE,CORRY,PA,AEA,HAR,PU,41-54-27.2000N,079-38-27.8000W,PU,,General Aviation,,N,100LLA,AMB,12,3820 
22649.5*A,D65,CORSICA MUNI,CORSICA,SD,AGL,DMA,PU,43-26-03.9620N,098-23-51.2870W,PU,,NON-NPIAS,,N,,AGRI,4,820 
02546.1*A,CEZ,CORTEZ MUNI,CORTEZ,CO,ANM,DEN,PU,37-18-10.8000N,108-37-41.0000W,PU,III A S 07/1973,Commercial Service,,N,100LLA,CHTR  INSTR  RNTL  SALES,34,12036 
15107.*A,N03,CORTLAND COUNTY-CHASE FIELD,CORTLAND,NY,AEA,NYC,PU,42-35-33.5230N,076-12-53.5770W,PU,,General Aviation,,N,100LL,INSTR  RNTL,45,16989 
19407.*A,CVO,CORVALLIS MUNI,CORVALLIS,OR,ANM,SEA,PU,44-29-49.6000N,123-17-22.3000W,PU,,General Aviation,,N,100LLA,AFRT  AMB  CHTR  INSTR  RNTL  SALES  SURV,155,52300 
05929.*A,0E9,CORYDON,CORYDON,IA,ACE,NONE,PU,40-45-22.4200N,093-14-25.2100W,PR,,NON-NPIAS,,N,MOGAS,,3,0 
17803.12*H,52OH,COSHOCTON COUNTY MEMORIAL HOSPITAL,COSHOCTON,OH,AGL,DET,PR,40-16-14.2550N,081-50-53.4700W,PR,,NON-NPIAS,,N,,,0,0 
19993.2*A,PA53,COSKLOS ELKVIEW,CARBONDALE,PA,AEA,HAR,PR,41-37-37.2940N,075-31-41.6650W,PR,,NON-NPIAS,,N,,,1,0 
07424.13*H,1LS1,COSMAR STYRENE PLANT,BATON ROUGE,LA,ASW,LNM,PR,30-13-21.0000N,091-04-22.0000W,PR,,NON-NPIAS,,N,,,0,0 
01455.31*H,42CL,COSTA MESA POLICE DEPARTMENT,COSTA MESA,CA,AWP,LAX,PR,33-39-47.0710N,117-54-15.2050W,PU,,NON-NPIAS,,N,,,0,0 
07685.22*A,2LA7,COSTELLO,OAK GROVE,LA,ASW,LNM,PR,32-57-57.0750N,091-25-33.1050W,PR,,NON-NPIAS,,N,,,1,0 
23961.01*A,4TA3,COSTELLO ISLAND- INC,GRAHAM,TX,ASW,TEX,PR,32-53-55.4370N,098-27-36.1930W,PR,,NON-NPIAS,,N,,,1,0 
03453.2*A,A51,COSTIN,PORT ST JOE,FL,ASO,ORL,PU,29-45-30.7570N,085-17-20.7050W,PR,,NON-NPIAS,,N,,,5,12500 
19411.1*A,61S,COTTAGE GROVE STATE,COTTAGE GROVE,OR,ANM,SEA,PU,43-48-14.7500N,123-01-55.3600W,PU,,General Aviation,,N,100LL,,46,16685 
05579.*A,1IN6,COTTINGHAM,PINE VILLAGE,IN,AGL,CHI,PR,40-24-06.0000N,087-13-13.0000W,PR,,NON-NPIAS,,N,,,1,0 
22955.71*A,4TN4,COTTON FIELD,EADS,TN,ASO,MEM,PR,35-11-24.0000N,089-38-19.0000W,PR,,NON-NPIAS,,N,,,5,0 
16750.*A,NC36,COTTON GIN,GRANDY,NC,ASO,ATL,PR,36-12-32.0000N,075-51-52.0000W,PR,,NON-NPIAS,,N,,,2,0 
24209.*A,TA75,COTTON PATCH,LEXINGTON,TX,ASW,TEX,PR,30-23-30.0000N,097-06-30.0000W,PR,,NON-NPIAS,,N,,,1,0 
03270.4*A,17FA,COTTON STRIP,LA BELLE,FL,ASO,ORL,PR,26-42-48.2440N,081-32-07.2810W,PR,,NON-NPIAS,,N,,BCHGR,0,0 
23908.5*A,TA77,COTTONPATCH AERODROME,FRISCO,TX,ASW,TEX,PR,33-08-57.4290N,096-53-56.0120W,PR,,NON-NPIAS,,N,,,2,0 
12422.01*A,0MT5,COTTONWOOD,LAUREL,MT,ANM,HLN,PR,45-38-03.0000N,108-50-56.0000W,PR,,NON-NPIAS,,N,,,1,0 
04975.*A,1C8,COTTONWOOD,ROCKFORD,IL,AGL,CHI,PU,42-17-30.0690N,089-08-10.3860W,PR,,NON-NPIAS,,N,,,40,9000 
07599.1*A,6LA1,COTTONWOOD,LAKE PROVIDENCE,LA,ASW,LNM,PR,32-59-02.4480N,091-12-21.3960W,PR,,NON-NPIAS,,N,,,0,0 
04431.12*A,IL57,COTTONWOOD,BLOOMINGTON,IL,AGL,CHI,PR,40-25-19.1310N,089-01-14.2830W,PR,,NON-NPIAS,,N,,,4,0 
00665.*A,P52,COTTONWOOD,COTTONWOOD,AZ,AWP,PHX,PU,34-43-48.2000N,112-02-06.5000W,PU,,General Aviation,,N,100LL,AVNCS  INSTR  RNTL,14,18900 
19463.05*A,OG50,COTTONWOOD CREEK RANCH,HARPER,OR,ANM,SEA,PR,43-50-50.0000N,117-34-27.0000W,PR,,NON-NPIAS,,N,,,2,0 
06551.5*A,9K0,COTTONWOOD FALLS,COTTONWOOD FALLS,KS,ACE,NONE,PU,38-21-31.0520N,096-33-16.0260W,PU,,NON-NPIAS,,N,,,2,1150 
25712.21*A,87VA,COTTONWOOD FARM,CROZET,VA,AEA,DCA,PR,38-04-52.0000N,078-41-44.0000W,PR,,NON-NPIAS,,N,,,0,0 
02741.6*A,09CO,COTTONWOOD FIELD,SWINK,CO,ANM,DEN,PR,38-03-20.0280N,103-39-11.8090W,PR,,NON-NPIAS,,N,,,2,0 
50870.35*C,3H3,COTTONWOOD LAKE,WASILLA,AK,AAL,NONE,PU,61-35-51.4000N,149-18-58.9000W,PU,,NON-NPIAS,,N,,,12,225 
04178.3*A,S84,COTTONWOOD MUNI,COTTONWOOD,ID,ANM,HLN,PU,46-02-19.5710N,116-19-53.5250W,PU,,NON-NPIAS,,N,,,7,4000 
08835.*H,6MA6,COTUIT,COTUIT,MA,ANE,NONE,PR,41-37-01.3950N,070-26-35.0930W,PR,,NON-NPIAS,,N,,,0,0 
23667.*A,COT,COTULLA-LA SALLE COUNTY,COTULLA,TX,ASW,TEX,PU,28-27-20.6000N,099-13-02.0000W,PU,,General Aviation,,N,100LLA,INSTR,5,13450 
26172.5*H,WN52,COUGAR,COUGAR,WA,ANM,SEA,PR,46-03-03.3970N,122-18-04.3480W,PR,,NON-NPIAS,,N,,,0,0 
24980.01*A,XA85,COUGAR LANDING,WACO,TX,ASW,TEX,PR,31-38-31.0000N,097-18-52.0000W,PR,,NON-NPIAS,,N,,,2,0 
26485.*A,49WA,COUGAR MOUNTAIN AIRFIELD,YELM,WA,ANM,SEA,PR,46-50-49.3640N,122-31-19.4290W,PR,,NON-NPIAS,,N,,,10,0 
20864.*C,PA15,COUILLARD,MARTINS CREEK,PA,AEA,HAR,PR,40-46-30.0000N,075-08-29.0000W,PR,,NON-NPIAS,,N,,,1,0 
26173.*A,WA15,COULEE CITY,COULEE CITY,WA,ANM,SEA,PR,47-36-59.5230N,119-14-34.0920W,PR,,NON-NPIAS,,N,,,6,300 
26229.82*H,2WA5,COULEE COMMUNITY HOSPITAL,GRAND COULEE,WA,ANM,SEA,PR,47-56-44.5460N,119-00-04.0770W,PR,,NON-NPIAS,,N,,,0,0 
23506.*A,CFD,COULTER FIELD,BRYAN,TX,ASW,TEX,PU,30-42-56.5000N,096-19-52.9000W,PU,,General Aviation,,N,100LLA,,69,16200 
50127.*A,K29,COUNCIL,COUNCIL,AK,AAL,NONE,PU,64-53-48.2900N,163-42-12.5950W,PU,,General Aviation,,N,,,0,0 
05932.1*A,CBF,COUNCIL BLUFFS MUNI,COUNCIL BLUFFS,IA,ACE,NONE,PU,41-15-36.4000N,095-45-31.1000W,PU,,General Aviation,,N,100LLA,CHTR  INSTR  RNTL  SALES  SURV,77,46350 
06551.7*A,K63,COUNCIL GROVE MUNI,COUNCIL GROVE,KS,ACE,NONE,PU,38-40-35.3000N,096-34-21.9000W,PU,,NON-NPIAS,,N,,,0,400 
04178.6*A,U82,COUNCIL MUNI,COUNCIL,ID,ANM,HLN,PU,44-45-01.2000N,116-26-42.2000W,PU,,General Aviation,,N,100LL,,7,4300 
01060.02*A,1AR9,COUNTRY AIR ESTATES,LONOKE,AR,ASW,AOK,PR,34-48-50.0000N,092-00-00.0000W,PR,,NON-NPIAS,,N,100LLMOGAS,,54,0 
07782.8*A,LS39,COUNTRY BEND,WATSON,LA,ASW,LNM,PR,30-35-21.6730N,090-59-04.3690W,PR,,NON-NPIAS,,N,,,0,0 
07744.02*A,01LS,COUNTRY BREEZE,SLAUGHTER,LA,ASW,LNM,PR,30-43-21.5000N,091-04-38.5000W,PR,,NON-NPIAS,,N,,,0,0 
11240.1*A,MS15,COUNTRY CLUB,GREENVILLE,MS,ASO,JAN,PR,33-19-52.4230N,091-02-13.3800W,PR,,NON-NPIAS,,N,,,2,0 
13259.271*A,NH88,COUNTRY CLUB AIR PARK,GOFFSTOWN,NH,ANE,NONE,PR,43-04-02.2960N,071-36-40.2590W,PR,,NON-NPIAS,,N,,,2,960 
10623.01*A,MY94,COUNTRY HAVEN,CLOQUET,MN,AGL,DMA,PR,46-45-09.0000N,092-25-09.0000W,PR,,NON-NPIAS,,N,,,0,0 
03053.64*A,86FD,COUNTRY LANDINGS,BELL,FL,ASO,ORL,PR,29-45-53.0000N,082-53-47.0000W,PR,,NON-NPIAS,,N,,,1,0 
19596.01*A,S48,COUNTRY SQUIRE AIRPARK,SANDY,OR,ANM,SEA,PU,45-21-16.0000N,122-16-05.0000W,PR,,NON-NPIAS,,N,,,27,2000 
14992.*A,NK01,COUNTRYMAN'S LANDING STRIP,CARTHAGE,NY,AEA,NYC,PR,43-59-58.2440N,075-36-17.6940W,PR,,NON-NPIAS,,N,,,5,0 
05031.99*H,IS22,COUNTY EMERG SVCS/DISASTER AGCY,URBANA,IL,AGL,CHI,PR,40-06-40.1160N,088-11-04.1660W,PU,,NON-NPIAS,,N,,,0,0 
02149.35*H,CL95,COUNTY HEADQUARTERS BLDG,SAN BERNARDINO,CA,AWP,LAX,PR,34-06-12.0420N,117-16-19.1510W,PU,,NON-NPIAS,,N,,,0,0 
02202.3*H,CA33,COUNTY MEDICAL CENTER,SAN JOSE,CA,AWP,SFO,PR,37-18-51.0000N,121-56-03.0000W,PU,,NON-NPIAS,,N,,,0,0 
11969.7*A,EIW,COUNTY MEMORIAL,NEW MADRID,MO,ACE,NONE,PU,36-32-07.1000N,089-35-59.0000W,PU,,General Aviation,,N,100LL,AGRI,12,17000 
04922.932*A,67LL,COUNTY POOR FARM,OREGON,IL,AGL,CHI,PR,41-59-25.1070N,089-19-53.3780W,PR,,NON-NPIAS,,N,,,3,0 
27234.1*H,4WN7,COUNTY RESCUE SERVICES,GREEN BAY,WI,AGL,CHI,PR,44-28-17.1600N,087-59-41.3500W,PR,,NON-NPIAS,,N,,,0,0 
26174.*A,WN40,COUPEVILLE AIRPARK,COUPEVILLE,WA,ANM,SEA,PR,48-11-25.3510N,122-38-34.5970W,PR,,NON-NPIAS,,N,,,7,0 
26174.01*A,NRA,COUPEVILLE NOLF,COUPEVILLE,WA,ANM,SEA,PR,48-11-00.0000N,122-38-00.0000W,MN,,NON-NPIAS,,N,,,0,0 
00245.*A,9A4,COURTLAND,COURTLAND,AL,ASO,JAN,PU,34-39-33.9000N,087-20-56.1000W,PU,,General Aviation,,N,100LLA+,INSTR  RNTL,47,11900 
27709.93*A,9WN1,COURTNEY PLUMMER,WINNECONNE,WI,AGL,CHI,PR,44-06-24.9360N,088-41-02.3990W,PR,,NON-NPIAS,,N,,,4,20 
05968.*A,99IA,COURTNEY'S LANDING,EDDYVILLE,IA,ACE,NONE,PR,41-12-59.6400N,092-46-40.7100W,PR,,NON-NPIAS,,N,,,1,0 
07418.14*A,22LS,COUVILLION,ARNAUDVILLE,LA,ASW,LNM,PR,30-23-52.0000N,091-58-26.0000W,PR,,NON-NPIAS,,N,,,2,0 
15107.7*H,2NK2,COVE NECK,COVE NECK,NY,AEA,NYC,PR,40-53-01.3540N,073-29-28.4400W,PR,,NON-NPIAS,,N,,,0,0 
19412.21*A,OG07,COVE SIDE RANCH PORT,COVE,OR,ANM,SEA,PR,45-20-01.0000N,117-49-11.0000W,PR,,NON-NPIAS,,N,,,1,0 
21788.*A,6G6,COVE VALLEY,WILLIAMSBURG,PA,AEA,HAR,PU,40-27-16.2610N,078-14-17.0390W,PR,,NON-NPIAS,,N,,,5,180 
27099.*A,1WN2,COVERED BRIDGE FIELDS,CEDARBURG,WI,AGL,CHI,PR,43-19-45.0130N,087-59-50.3250W,PR,,NON-NPIAS,,N,,,10,2500 
23909.61*A,X09,COVEY TRAILS,FULSHEAR,TX,ASW,TEX,PU,29-41-24.3000N,095-50-25.7050W,PR,,NON-NPIAS,,N,,,52,500 
25876.12*A,VA72,COVINGTON,MARTINSVILLE,VA,AEA,DCA,PR,36-36-00.4950N,080-02-19.1610W,PR,,NON-NPIAS,,N,,,2,0 
03641.*A,CVC,COVINGTON MUNI,ATLANTA,GA,ASO,ATL,PU,33-37-56.3100N,083-50-50.8100W,PU,,General Aviation,,N,100LLA1+,RNTL,39,15000 
22930.*A,M04,COVINGTON MUNI,COVINGTON,TN,ASO,MEM,PU,35-35-00.1140N,089-35-13.9980W,PU,,General Aviation,,N,100LLA+,AGRI  CHTR,35,13000 
07478.21*A,LA87,COVINGTON-VINCENT,COVINGTON,LA,ASW,LNM,PR,30-30-34.6890N,090-09-10.2860W,PR,,NON-NPIAS,,N,,,22,0 
18227.12*H,OH58,COW CHIP CREEK,MORROW,OH,AGL,DET,PR,39-20-01.2160N,084-08-19.7650W,PR,,NON-NPIAS,,N,,,0,0 
12565.83*A,CW0,COW CREEK,WINIFRED,MT,ANM,HLN,PU,47-56-51.0000N,109-00-29.0000W,PU,,NON-NPIAS,,N,,,0,80 
24480.16*A,TE16,COW PASTURE,PARKER,TX,ASW,TEX,PR,32-15-01.5300N,097-17-50.0490W,PR,,NON-NPIAS,,N,,,1,0 
24674.11*H,7TS1,COWDEN,SAGINAW,TX,ASW,TEX,PR,32-51-50.4580N,097-23-44.0670W,PR,,NON-NPIAS,,N,,,0,0 
50068.66*H,68AK,COWELL'S,BIG LAKE,AK,AAL,NONE,PR,61-30-59.6900N,149-55-51.8900W,PR,,NON-NPIAS,,N,,,0,0 
11925.*A,MU38,COWGILL-ROEMER,MILAN,MO,ACE,NONE,PR,40-10-42.0670N,093-07-52.7510W,PR,,NON-NPIAS,,N,,,0,0 
10323.01*A,96G,COWLEY FIELD,SANDUSKY,MI,AGL,DET,PU,43-22-35.0800N,082-48-52.4400W,PR,,NON-NPIAS,,N,,,1,100 
16510.01*A,NC81,COX,APEX,NC,ASO,MEM,PR,35-45-06.5440N,078-51-35.0260W,PR,,NON-NPIAS,,N,100LL,,18,0 
23057.1*A,TN71,COX FARM,LENOIR CITY,TN,ASO,MEM,PR,35-47-40.2750N,084-20-29.7240W,PR,,NON-NPIAS,,N,,,2,0 
17150.12*A,81NC,COX FIELD,TABOR CITY,NC,ASO,MEM,PR,34-02-27.0000N,078-44-24.0000W,PR,,NON-NPIAS,,N,,,2,0 
24480.*A,PRX,COX FIELD,PARIS,TX,ASW,TEX,PU,33-38-11.8000N,095-27-02.7000W,PU,,General Aviation,,N,100LLA,AGRI  INSTR  RNTL,37,8050 
10952.01*A,59MN,COX-COYOUR MEML AIR FIELD,ROOSEVELT,MN,AGL,DMA,PR,48-35-57.9230N,095-11-12.8590W,PU,,NON-NPIAS,,N,,,0,0 
16754.*A,6NC0,COX-GRANTHAM AIRFIELD,GRANTHAM,NC,ASO,MEM,PR,35-17-20.5890N,078-10-47.9800W,PR,,NON-NPIAS,,N,,,8,0 
04141.7*A,U48,COXS WELL,ATOMIC CITY,ID,ANM,HLN,PU,43-13-03.9000N,113-13-39.2000W,PU,,NON-NPIAS,,N,,,0,400 
20693.01*H,3PS7,COXTON LAKE,LAKEWOOD,PA,AEA,HAR,PR,41-51-29.0000N,075-26-56.0000W,PR,,NON-NPIAS,,N,,,0,0 
14975.8*A,30NY,COYE FIELD,CANADICE,NY,AEA,NYC,PR,42-45-00.2320N,077-33-28.9770W,PR,,NON-NPIAS,,N,,,4,0 
13611.*A,NJ20,COYLE FIELD,CHATSWORTH,NJ,AEA,HAR,PR,39-48-45.4260N,074-25-28.5350W,PU,,NON-NPIAS,,N,,,3,0 
00719.01*A,AZ60,COYNER AIRSTRIP,LITCHFIELD PARK,AZ,AWP,PHX,PR,33-30-18.1430N,112-28-24.5880W,PR,,NON-NPIAS,,N,,,5,0 
02628.01*A,30CO,COYOTE CREEK RANCH,GUFFEY,CO,ANM,DEN,PR,38-40-21.0600N,105-20-09.9000W,PR,,NON-NPIAS,,N,,,1,0 
24321.82*A,TA26,COYOTE CROSSING,MAYPEARL,TX,ASW,TEX,PR,32-17-46.9000N,097-03-24.5000W,PR,,NON-NPIAS,,N,,,1,0 
23663.4*A,4XS1,COYOTE FIELD,CORSICANA,TX,ASW,TEX,PR,32-08-02.0000N,096-31-14.3000W,PR,,NON-NPIAS,,N,,,2,0 
04255.01*A,17ID,COYOTE RIDGE,MIDVALE,ID,ANM,HLN,PR,44-24-50.0000N,116-35-27.0000W,PR,,NON-NPIAS,,N,,,2,0 
04269.02*A,0ID3,COYOTE RUN,MOUNTAIN HOME,ID,ANM,HLN,PR,43-04-32.8200N,115-40-22.3800W,PR,,NON-NPIAS,,N,,,1,0 
12684.*A,CZD,COZAD MUNI,COZAD,NE,ACE,NONE,PU,40-52-10.5321N,100-00-15.3055W,PU,,General Aviation,,N,100LLA,AGRI  RNTL  SALES,15,13000 
23970.*H,XA01,COZBY-GERMANY HOSPITAL,GRAND SALINE,TX,ASW,TEX,PR,32-40-34.3000N,095-43-34.6000W,PR,,NON-NPIAS,,N,,,0,0 
18376.01*H,78OI,CPC PARMA,PARMA,OH,AGL,DET,PR,41-24-44.1830N,081-46-19.4790W,PR,,NON-NPIAS,,N,,,0,0 
04207.6*A,ID84,CPTPA HEADQUARTERS,HEADQUARTERS,ID,ANM,HLN,PR,46-37-01.6720N,115-47-59.5170W,PR,,NON-NPIAS,,N,,,0,175 
16694.21*A,3NR4,CRABBE,ELIZABETH CITY,NC,ASO,MEM,PR,36-16-51.0000N,076-20-12.0000W,PR,,NON-NPIAS,,N,,,1,0 
11872.3*A,6MU9,CRADDOCK FIELD,LICKING,MO,ACE,NONE,PR,37-32-05.1600N,091-57-54.5700W,PR,,NON-NPIAS,,N,,,1,0 
16788.12*A,86NC,CRAFT,HERTFORD,NC,ASO,MEM,PR,36-15-49.0000N,076-29-36.0000W,PR,,NON-NPIAS,,N,,,2,0 
50730.03*A,52AK,CRAG MOUNTAIN,SUTTON,AK,AAL,NONE,PR,61-42-14.5100N,148-54-31.6400W,PR,,NON-NPIAS,,N,,,2,0 
19289.22*H,86OK,CRAIG,VINITA,OK,ASW,AOK,PR,36-39-00.2920N,095-07-00.8780W,PU,,NON-NPIAS,,N,,,0,0 
50130.*C,CGA,CRAIG,CRAIG,AK,AAL,NONE,PU,55-28-43.7930N,133-08-52.0840W,PU,,Commercial Service,,N,,CARGO,0,2254 
02548.2*H,CO21,CRAIG,CRAIG,CO,ANM,DEN,PR,40-31-27.0000N,107-33-20.0000W,PR,,NON-NPIAS,,N,,,0,0 
50130.1*H,1AK0,CRAIG CG,CRAIG,AK,AAL,NONE,PR,55-28-30.7930N,133-08-45.0830W,CG,,NON-NPIAS,,N,,,0,100 
08569.02*H,MD30,CRAIG COMPANY,HAGERSTOWN,MD,AEA,DCA,PR,39-38-30.3450N,077-44-58.9770W,PR,,NON-NPIAS,,N,,,0,0 
08874.*C,7MA2,CRAIG COVE,EAST FREETOWN,MA,ANE,NONE,PR,41-46-50.0000N,070-56-50.0000W,PR,,NON-NPIAS,,N,,,1,0 
00511.*A,SEM,CRAIG FIELD,SELMA,AL,ASO,JAN,PU,32-20-38.2080N,086-59-16.1000W,PU,,General Aviation,,N,100LLA,INSTR,14,38550 
17255.5*A,5ND3,CRAIG PRIVATE,BATHGATE,ND,AGL,DMA,PR,48-51-19.9570N,097-19-19.2620W,PR,,NON-NPIAS,,N,,,2,0 
02549.*A,CAG,CRAIG-MOFFAT,CRAIG,CO,ANM,DEN,PU,40-29-42.8000N,107-31-18.0000W,PU,,General Aviation,,N,100LLA,AGRI,19,8500 
18341.*H,6OH2,CRAIGHEAD,NOVELTY,OH,AGL,DET,PR,41-26-50.1890N,081-16-32.3780W,PR,,NON-NPIAS,,N,MOGAS,,0,0 
04178.7*A,S89,CRAIGMONT MUNI,CRAIGMONT,ID,ANM,HLN,PU,46-14-51.8000N,116-28-45.7000W,PU,,General Aviation,,N,,,2,12750 
12533.01*A,29MT,CRAIK,TROUT CREEK,MT,ANM,HLN,PR,47-44-20.0000N,115-30-10.0000W,PR,,NON-NPIAS,,N,,,2,0 
12668.*A,BUB,CRAM FIELD,BURWELL,NE,ACE,NONE,PU,41-46-39.2758N,099-09-00.7627W,PU,,General Aviation,,N,100LL,,11,900 
07198.1*U,29KY,CRAMER AERODROME,HOPKINSVILLE,KY,ASO,MEM,PR,36-53-35.1600N,087-25-38.0180W,PR,,NON-NPIAS,,N,,,0,0 
27166.1*C,WN66,CRANBERRY INTL,EAGLE RIVER,WI,AGL,CHI,PR,45-51-04.8310N,089-27-04.4970W,PR,,NON-NPIAS,,N,100LL,,2,0 
27131.8*A,Y55,CRANDON/STEVE CONWAY MUNI,CRANDON,WI,AGL,CHI,PU,45-31-21.5340N,088-55-42.3743W,PU,,General Aviation,,N,,,4,4400 
23671.*A,E13,CRANE COUNTY,CRANE,TX,ASW,TEX,PU,31-24-54.5020N,102-21-46.5110W,PU,,NON-NPIAS,,N,100LL,,2,1200 
27082.31*A,WI21,CRANE FIELD,CADOTT,WI,AGL,CHI,PR,44-54-34.8620N,091-14-30.5450W,PR,,NON-NPIAS,,N,,,3,0 
21758.*H,PN07,CRANES-N-LIFTS INC,WHITE HAVEN,PA,AEA,HAR,PR,41-01-51.3050N,075-46-42.6960W,PR,,NON-NPIAS,,N,,,0,0 
08957.2*A,28M,CRANLAND,HANSON,MA,ANE,NONE,PU,42-01-30.5000N,070-50-17.2000W,PR,,NON-NPIAS,,N,,,22,6210 
27415.81*A,55WI,CRANMOOR AIRSTRIP,NEKOOSA,WI,AGL,CHI,PR,44-19-04.8670N,089-58-07.4630W,PU,,NON-NPIAS,,N,,,0,0 
16971.02*H,NC57,CRAVEN RGNL MEDICAL CENTER,NEW BERN,NC,ASO,MEM,PR,35-06-55.5750N,077-03-49.8140W,PU,,NON-NPIAS,,N,,,0,0 
07084.11*A,3KY4,CRAW DADDY LANDING,CARROLLTON,KY,ASO,MEM,PR,38-40-22.0000N,085-10-58.0000W,PR,,NON-NPIAS,,N,,,3,0 
02263.*A,0CA3,CRAWFORD,SANTA YNEZ,CA,AWP,LAX,PR,34-35-14.9570N,120-00-48.5130W,PR,,NON-NPIAS,,N,,,1,0 
07056.*U,95KY,CRAWFORD,BRODHEAD,KY,ASO,MEM,PR,37-25-13.0000N,084-22-09.0000W,PR,,NON-NPIAS,,N,,,3,0 
02549.8*A,99V,CRAWFORD,CRAWFORD,CO,ANM,DEN,PU,38-42-14.9530N,107-38-37.2100W,PR,,NON-NPIAS,,N,,GLD  INSTR  TOW,18,5060 
04968.1*A,RSV,CRAWFORD CO,ROBINSON,IL,AGL,CHI,PU,39-00-57.7000N,087-38-59.2000W,PU,,General Aviation,,N,100LLA    MOGAS,INSTR  RNTL,16,11500 
05540.3*A,II90,CRAWFORD FIELD,NORTH JUDSON,IN,AGL,CHI,PR,41-11-59.1430N,086-50-11.0660W,PR,,NON-NPIAS,,N,,,3,0 
04017.01*A,GA07,CRAWFORD HENDRIX FARM,STATESBORO,GA,ASO,ATL,PR,32-14-14.0000N,081-38-42.0000W,PR,,NON-NPIAS,,N,,,1,0 
04968.12*H,35LL,CRAWFORD MEMORIAL HOSPITAL,ROBINSON,IL,AGL,CHI,PR,39-00-55.1400N,087-45-02.7100W,PU,,NON-NPIAS,,N,,,0,0 
01190.*H,AR87,CRAWFORD MEMORIAL HOSPITAL,VAN BUREN,AR,ASW,AOK,PR,35-26-04.3210N,094-20-23.7630W,PR,,NON-NPIAS,,N,,,0,0 
05210.*A,CFJ,CRAWFORDSVILLE MUNI,CRAWFORDSVILLE,IN,AGL,CHI,PU,39-58-32.3000N,086-55-11.5000W,PU,,General Aviation,,N,100LLA,AGRI  INSTR  RNTL,29,6383 
18655.02*A,2OI4,CRAZY BOB'S,WESTFIELD CENTER,OH,AGL,DET,PR,41-02-43.1980N,081-56-11.5100W,PR,,NON-NPIAS,,N,,,3,0 
22651.02*H,0SD9,CRAZY HORSE,CUSTER,SD,AGL,DMA,PR,43-49-29.9000N,103-38-08.7000W,PR,,NON-NPIAS,,N,A,,0,0 
26675.*A,12WV,CRAZY HORSE,HAMLIN,WV,AEA,BKW,PR,38-20-31.8000N,082-06-54.0000W,PR,,NON-NPIAS,,N,,,1,0 
18917.01*A,97F,CRAZY HORSE MUNI,DAVIS,OK,ASW,AOK,PU,34-32-47.3110N,097-06-30.0700W,PU,,NON-NPIAS,,N,,,0,20 
13779.*H,98NJ,CREAMER,HACKENSACK,NJ,AEA,HAR,PR,40-52-31.3580N,074-02-06.5040W,PR,,NON-NPIAS,,N,,,0,0 
24742.61*A,5TA5,CREASY,SANTA FE,TX,ASW,TEX,PR,29-20-09.8500N,095-06-54.7440W,PR,,NON-NPIAS,,N,,,2,0 
07233.02*H,82CD,CREECH,LEXINGTON,KY,ASO,MEM,PR,38-04-53.7000N,084-19-05.7000W,PR,,NON-NPIAS,,N,,,0,0 
24346.41*H,TA94,CREECH,MESQUITE,TX,ASW,TEX,PR,32-42-40.4700N,096-33-26.9650W,PR,,NON-NPIAS,,N,,,0,0 
13079.*A,INS,CREECH AFB,INDIAN SPRINGS,NV,AWP,PHX,PR,36-35-10.8376N,115-40-38.5340W,MA,,NON-NPIAS,,Y,A1+,CARGO,0,4000 
